Gene_name	Essentiality	Sum_reads_truncated	Reads_10%_truncated																																																																																																																																																																																																																																																											
PSK1	0	80	67	2	9	1	1	71	3	7	35	2	15	14	1	1	4	18	45	5	4	4	3	22	3	11	48	260	1	15																																																																																																																																																																																																																																
YAL016C-B	0	77	2	7	10	6	52	8	7	16	9	6																																																																																																																																																																																																																																																		
YAL016C-A	0	10	10																																																																																																																																																																																																																																																											
TPD3	0	0																																																																																																																																																																																																																																																												
NTG1	0	46	1	36	7	1	1	2	1	31	1	1	148	2	280	19	282	55	53	99	50	1	30	17	115																																																																																																																																																																																																																																					
SYN8	0	299	1	13	12	16	257	1	1	19																																																																																																																																																																																																																																																				
DEP1	0	116	3	58	31	1	23	1	15	2	3	56	1																																																																																																																																																																																																																																																	
CYS3	0	0																																																																																																																																																																																																																																																												
SWC3	0	65	15	1	9	13	27	10	13	7	1	9	11	9	5	11	1	15	25	81	23	1	17	1	16	13	2	8	8	2	11	54	18	13	9	25																																																																																																																																																																																																																										
MDM10	0	14	12	2																																																																																																																																																																																																																																																										
SPO7	0	14	2	2	1	4	5	1	2	1	1	23	1																																																																																																																																																																																																																																																	
FUN14	0	284	17	139	8	2	118	142	81	3	107	45	15	2	302	2	29	13	107	11	20	1	16	1	1																																																																																																																																																																																																																																					
ERP2	0	31	3	6	1	1	20	27	2	102	1	1	124	60	61	1	206	27	1	6	16																																																																																																																																																																																																																																									
SSA1	0	31	1	9	1	18	2	3	2	1	2	42	1	8	4	12	14	9	4	1	6	3	3																																																																																																																																																																																																																																							
YAL004W	0	205	6	3	3	40	153	1																																																																																																																																																																																																																																																						
EFB1	1	34	34																																																																																																																																																																																																																																																											
VPS8	0	58	2	39	1	2	14	2	3	31	31	33	5	24	5	16	34	110	17	37	1	10	1	21	2	15	1	10	10	10	5	23	44	1	7	1	5	28	22	1	1	1	3	1	3	113	4	4	1	3	8	4	1	2	134	3	13	2	16	63	5	2	13	109	109	1	6	1	1	7	1	1	1																																																																																																																																																																																					
TFC3	1	0																																																																																																																																																																																																																																																												
NUP60	0	278	18	11	14	2	233	412	258	4	2	1	251	1	58	456	5	3	1	1	10	34	2	17	1	2	5	278	1	29	2	1	80	8	17	42	1	141	9	1	2	1	214	46	23	3	103	87	1	3	3	23	33	2	13	45	1	1	2	20	1	35	1	134	4	2	25	25	4	1	1	1	5	1	20	9																																																																																																																																																																																		
ERP1	0	328	3	65	7	12	241	8	1	3	47	11	50	24	3	6	424	81	5	48	35	95	1	2	1	3	21	2	3	1	6	1																																																																																																																																																																																																																														
SWD1	0	394	1	367	4	1	21	91	43	1	64	53	3	39	52	11	16	1	54	1	35	8	2	6	4	1	34	1	106	42	11	75	50	26	23	8																																																																																																																																																																																																																										
RFA1	1	28	28																																																																																																																																																																																																																																																											
SEN34	1	0																																																																																																																																																																																																																																																												
BUD14	0	85	1	2	70	11	1	52	18	1	23	245	1	43	1	20	51	12	76	80	1	1	3	10	34	34	64	6	1	5	72	6	26	4	1	2	51	65	6	9	22	78	34	12	139	2	116	44	7	204	15																																																																																																																																																																																																											
ADE1	0	0																																																																																																																																																																																																																																																												
KIN3	0	33	19	5	6	1	2	10	1	5	2	34	1	17	17																																																																																																																																																																																																																																															
CDC15	1	0																																																																																																																																																																																																																																																												
YAR019W-A	0	10	1	1	3	3	2	3	1	68	14	2																																																																																																																																																																																																																																																		
PAU7	0	139	41	1	4	87	6	19	5	4	88	1	28																																																																																																																																																																																																																																																	
YAR023C	0	8	1	1	2	2	2	2	225	1	199	79	271	63	12	1	23																																																																																																																																																																																																																																													
UIP3	0	140	92	2	1	44	1	1	4																																																																																																																																																																																																																																																					
YAR028W	0	195	6	2	1	21	165	4	39																																																																																																																																																																																																																																																					
YAR029W	0	30	6	1	23																																																																																																																																																																																																																																																									
YAR030C	0	2	1	1																																																																																																																																																																																																																																																										
PRM9	0	45	1	7	11	22	4	26	150	1	16	15	3	2	1	2	4	6	4	8	2	28																																																																																																																																																																																																																																								
MST28	0	61	2	10	15	33	1	20	27	9	51	43	3	1	1																																																																																																																																																																																																																																															
YAT1	0	76	8	5	7	34	22	1	1	167	1	2	2	11	3	11	1	43	55	1	12	73	114	76	1	4	255	5	2	2	1																																																																																																																																																																																																																															
YAR035C-A	0	34	3	18	2	8	3	3	15	7	4	8	2																																																																																																																																																																																																																																																	
SWH1	0	224	1	70	151	1	1	46	35	2	1	33	1	4	1	4	16	1	6	16	57	2	15	51	54	184	1	10	4	78	1	1	1	1																																																																																																																																																																																																																												
YAR047C	0	17	10	7																																																																																																																																																																																																																																																										
FLO1	0	104	11	15	1	59	18	62	24	15	9	10	14	17	17	7	4	1	1	3	28	6	1	4	22	1	1	1																																																																																																																																																																																																																																		
YAR053W	0	7	6	1																																																																																																																																																																																																																																																										
YAR060C	0	14	4	6	1	2	1	1																																																																																																																																																																																																																																																						
YAR064W	0	42	10	15	1	15	1	1	1	2	2																																																																																																																																																																																																																																																			
YAR066W	0	1	1																																																																																																																																																																																																																																																											
YAR068W	0	67	52	1	14																																																																																																																																																																																																																																																									
YAR069C	0	13	9	4																																																																																																																																																																																																																																																										
YAR070C	0	0																																																																																																																																																																																																																																																												
PHO11	0	50	49	1																																																																																																																																																																																																																																																										
IMD1	0	272	235	19	17	1																																																																																																																																																																																																																																																								
YAR075W	0	145	2	59	84																																																																																																																																																																																																																																																									
YBL113C	0	271	1	4	2	263	1	1	6	1	1	1	2	1	2	2	4	1	3	1	1	1	1	12	4	17	1	4	2	5	34	3	3	5																																																																																																																																																																																																																												
YBL113W-A	0	2	2																																																																																																																																																																																																																																																											
YBL112C	0	23	9	1	1	1	11	1	4	8																																																																																																																																																																																																																																																				
YBL111C	0	30	4	16	2	1	7	22	2	5	1	4	1	1	1	1	1	1	1	3	8	1	1	6	4	36	1	1	33	29	3	1	2	12	8	7	3	5	1	39	16	14	2	13	17	4	14	2	2	2	1	11	8																																																																																																																																																																																																									
YBL109W	0	10	2	1	2	3	2	19	31	39	2																																																																																																																																																																																																																																																			
PAU9	0	0																																																																																																																																																																																																																																																												
YBL108W	0	81	2	26	31	22																																																																																																																																																																																																																																																								
YBL107W-A	0	22	1	1	1	19																																																																																																																																																																																																																																																								
MIX23	0	17	3	3	9	1	1																																																																																																																																																																																																																																																							
SRO77	0	102	1	37	34	1	29	1	6	1	1	2	1	76	11																																																																																																																																																																																																																																															
PKC1	1	0																																																																																																																																																																																																																																																												
SEA4	0	91	23	44	3	3	18	67	7	28	104	12	97	162	33	2	12	2	58	1	1	3	67	1	39	1	198	1	1	70																																																																																																																																																																																																																																
RTG3	0	110	65	7	38																																																																																																																																																																																																																																																									
SFT2	1	0																																																																																																																																																																																																																																																												
ECM21	0	27	1	6	3	13	4	13	5	57	24	137	3	10																																																																																																																																																																																																																																																
YBL100W-C	0	75	10	21	9	1	34	2	7																																																																																																																																																																																																																																																					
YBL100C	0	0																																																																																																																																																																																																																																																												
ATP1	0	3	3																																																																																																																																																																																																																																																											
BNA4	0	481	178	289	1	2	11	1	20	10	21	196	4	32																																																																																																																																																																																																																																																
BRN1	1	0																																																																																																																																																																																																																																																												
YBL096C	0	0																																																																																																																																																																																																																																																												
MRX3	0	15	4	1	9	1																																																																																																																																																																																																																																																								
YBL094C	0	10	9	1																																																																																																																																																																																																																																																										
ROX3	0	0																																																																																																																																																																																																																																																												
RPL32	1	0																																																																																																																																																																																																																																																												
SCS22	0	0																																																																																																																																																																																																																																																												
MAP2	0	16	16																																																																																																																																																																																																																																																											
MRP21	0	2	1	1																																																																																																																																																																																																																																																										
AVT5	0	225	12	19	5	17	172	8	3	7	1	1																																																																																																																																																																																																																																																		
TEL1	0	37	2	24	1	9	1	1	5	29	17	23	6	16	29	1	1	17	1	1	61	5																																																																																																																																																																																																																																								
RPL23A	0	248	1	1	152	92	2	2	7	7	3	4	18																																																																																																																																																																																																																																																	
YBL086C	0	27	1	2	24																																																																																																																																																																																																																																																									
BOI1	0	96	29	2	18	45	2	9	4	2																																																																																																																																																																																																																																																				
CDC27	1	1	1																																																																																																																																																																																																																																																											
YBL083C	0	0																																																																																																																																																																																																																																																												
ALG3	0	99	93	2	4																																																																																																																																																																																																																																																									
YBL081W	0	79	46	2	1	25	5	175	2																																																																																																																																																																																																																																																					
PET112	0	89	1	76	1	9	2																																																																																																																																																																																																																																																							
NUP170	0	38	31	4	1	2																																																																																																																																																																																																																																																								
ATG8	0	0																																																																																																																																																																																																																																																												
YBL077W	1	170	1	54	16	99																																																																																																																																																																																																																																																								
ILS1	1	1	1																																																																																																																																																																																																																																																											
SSA3	0	105	32	1	11	41	20	3	2	24	54	1	1																																																																																																																																																																																																																																																	
