Gene_name	Essentiality	Sum_reads_truncated	Reads_10%_truncated																																																																																																																																																																																																																																																											
YDR194W-A	0	3	3																																																																																																																																																																																																																																																											
REF2	0	35	2	29	1	2	1	25																																																																																																																																																																																																																																																						
CAB5	1	5	5																																																																																																																																																																																																																																																											
CBS2	0	9	2	6	1																																																																																																																																																																																																																																																									
RKM2	0	12	12																																																																																																																																																																																																																																																											
YDR199W	0	27	7	8	8	2	2	4																																																																																																																																																																																																																																																						
VPS64	0	0																																																																																																																																																																																																																																																												
SPC19	1	0																																																																																																																																																																																																																																																												
RAV2	0	1	1																																																																																																																																																																																																																																																											
YDR203W	0	0																																																																																																																																																																																																																																																												
COQ4	0	2	1	1																																																																																																																																																																																																																																																										
MSC2	0	90	5	26	33	21	5	2																																																																																																																																																																																																																																																						
EBS1	0	18	2	13	2	1																																																																																																																																																																																																																																																								
UME6	0	71	2	25	5	3	36	123	3	1																																																																																																																																																																																																																																																				
MSS4	1	112	36	75	1																																																																																																																																																																																																																																																									
YDR209C	0	16	16																																																																																																																																																																																																																																																											
YDR210W	0	0																																																																																																																																																																																																																																																												
GCD6	1	0																																																																																																																																																																																																																																																												
TCP1	1	2	1	1																																																																																																																																																																																																																																																										
UPC2	0	47	25	2	11	7	2	1	18	3																																																																																																																																																																																																																																																				
AHA1	0	2	2																																																																																																																																																																																																																																																											
YDR215C	0	31	1	1	14	13	2	4																																																																																																																																																																																																																																																						
ADR1	0	117	1	84	1	29	2	22																																																																																																																																																																																																																																																						
RAD9	0	69	59	10																																																																																																																																																																																																																																																										
SPR28	0	137	4	14	1	26	92	5	12	37	1																																																																																																																																																																																																																																																			
MFB1	0	43	1	2	40																																																																																																																																																																																																																																																									
YDR220C	0	5	1	1	1	2																																																																																																																																																																																																																																																								
GTB1	0	34	1	2	1	30																																																																																																																																																																																																																																																								
YDR222W	0	12	8	4																																																																																																																																																																																																																																																										
CRF1	0	10	1	2	2	3	2	5	1	5	14	5																																																																																																																																																																																																																																																		
HTB1	1	0																																																																																																																																																																																																																																																												
HTA1	0	0																																																																																																																																																																																																																																																												
ADK1	0	1	1																																																																																																																																																																																																																																																											
SIR4	0	92	3	67	1	4	17	11	6	4	20	28	89	25	11																																																																																																																																																																																																																																															
PCF11	1	0																																																																																																																																																																																																																																																												
IVY1	0	154	67	2	15	28	42																																																																																																																																																																																																																																																							
YDR230W	0	1	1																																																																																																																																																																																																																																																											
COX20	1	1	1																																																																																																																																																																																																																																																											
HEM1	1	1	1																																																																																																																																																																																																																																																											
RTN1	1	0																																																																																																																																																																																																																																																												
LYS4	0	55	7	44	3	1																																																																																																																																																																																																																																																								
PRP42	1	0																																																																																																																																																																																																																																																												
FMN1	1	0																																																																																																																																																																																																																																																												
MRPL7	0	5	1	4																																																																																																																																																																																																																																																										
SEC26	1	0																																																																																																																																																																																																																																																												
YDR239C	0	66	5	7	48	5	1	2	10	16	53	28																																																																																																																																																																																																																																																		
SNU56	1	3	3																																																																																																																																																																																																																																																											
BUD26	0	16	16																																																																																																																																																																																																																																																											
AMD2	0	56	1	2	5	1	47																																																																																																																																																																																																																																																							
PRP28	1	0																																																																																																																																																																																																																																																												
PEX5	0	84	58	2	10	14																																																																																																																																																																																																																																																								
MNN10	0	0																																																																																																																																																																																																																																																												
TRS23	1	0																																																																																																																																																																																																																																																												
YDR246W-A	0	72	1	3	2	1	65																																																																																																																																																																																																																																																							
VHS1	0	52	1	9	34	8																																																																																																																																																																																																																																																								
YDR248C	0	10	10																																																																																																																																																																																																																																																											
YDR249C	0	1	1																																																																																																																																																																																																																																																											
YDR250C	0	133	79	2	4	4	44																																																																																																																																																																																																																																																							
PAM1	0	37	16	3	1	1	16																																																																																																																																																																																																																																																							
BTT1	0	0																																																																																																																																																																																																																																																												
MET32	0	107	2	105																																																																																																																																																																																																																																																										
CHL4	0	50	36	3	11																																																																																																																																																																																																																																																									
RMD5	0	198	19	179																																																																																																																																																																																																																																																										
CTA1	0	109	2	94	1	5	7	1																																																																																																																																																																																																																																																						
RKM4	0	10	8	1	1																																																																																																																																																																																																																																																									
HSP78	0	0																																																																																																																																																																																																																																																												
YAP6	0	97	71	1	1	22	2	1																																																																																																																																																																																																																																																						
SWM1	0	18	3	4	1	2	8	15																																																																																																																																																																																																																																																						
EXG2	0	154	1	135	1	12	5	299	18	16	2	1																																																																																																																																																																																																																																																		
YDR262W	0	0																																																																																																																																																																																																																																																												
DIN7	0	41	17	2	3	18	1	83	76																																																																																																																																																																																																																																																					
AKR1	0	0																																																																																																																																																																																																																																																												
PEX10	0	2	2																																																																																																																																																																																																																																																											
HEL2	0	53	19	2	31	1																																																																																																																																																																																																																																																								
CIA1	1	0																																																																																																																																																																																																																																																												
MSW1	0	39	39																																																																																																																																																																																																																																																											
YDR269C	0	0																																																																																																																																																																																																																																																												
CCC2	0	196	1	92	102	1																																																																																																																																																																																																																																																								
YDR271C	0	1	1																																																																																																																																																																																																																																																											
GLO2	0	2	1	1																																																																																																																																																																																																																																																										
DON1	0	17	4	1	12																																																																																																																																																																																																																																																									
YDR274C	0	235	57	84	9	6	79	4	1	30	5	9	38	2	98	6	1	1	198	7	31																																																																																																																																																																																																																																									
BSC2	0	12	2	8	2																																																																																																																																																																																																																																																									
PMP3	0	0																																																																																																																																																																																																																																																												
MTH1	0	117	116	1																																																																																																																																																																																																																																																										
YDR278C	0	5	3	1	1																																																																																																																																																																																																																																																									
RNH202	0	54	1	1	10	42																																																																																																																																																																																																																																																								
RRP45	1	0																																																																																																																																																																																																																																																												
PHM6	0	1	1																																																																																																																																																																																																																																																											
MRX10	0	16	16																																																																																																																																																																																																																																																											
GCN2	0	71	3	2	2	9	55	3	1	4	1	1	9																																																																																																																																																																																																																																																	
DPP1	0	4	4																																																																																																																																																																																																																																																											
ZIP1	0	337	121	1	136	78	1	26	13																																																																																																																																																																																																																																																					
YDR286C	0	226	187	5	34																																																																																																																																																																																																																																																									
INM2	0	0																																																																																																																																																																																																																																																												
NSE3	1	0																																																																																																																																																																																																																																																												
RTT103	0	0																																																																																																																																																																																																																																																												
YDR290W	0	0																																																																																																																																																																																																																																																												
HRQ1	0	254	1	25	227	1																																																																																																																																																																																																																																																								
SRP101	1	0																																																																																																																																																																																																																																																												
SSD1	0	193	118	16	13	20	26	17																																																																																																																																																																																																																																																						
DPL1	0	7	7																																																																																																																																																																																																																																																											
HDA2	0	17	17																																																																																																																																																																																																																																																											
MHR1	0	1	1																																																																																																																																																																																																																																																											
SUR2	0	30	29	1																																																																																																																																																																																																																																																										
ATP5	0	0																																																																																																																																																																																																																																																												
BFR2	1	0																																																																																																																																																																																																																																																												
PRO1	0	0																																																																																																																																																																																																																																																												
CFT1	1	0																																																																																																																																																																																																																																																												
GPI11	1	1	1																																																																																																																																																																																																																																																											
RSC3	1	0																																																																																																																																																																																																																																																												
CPR5	0	0																																																																																																																																																																																																																																																												
HNT2	0	96	8	1	87																																																																																																																																																																																																																																																									
YDR306C	0	40	6	8	22	4																																																																																																																																																																																																																																																								
PMT7	0	39	1	4	6	24	4																																																																																																																																																																																																																																																							
SRB7	1	0																																																																																																																																																																																																																																																												
GIC2	0	353	4	186	163																																																																																																																																																																																																																																																									
SUM1	0	134	131	1	2																																																																																																																																																																																																																																																									
TFB1	1	0																																																																																																																																																																																																																																																												
SSF2	0	100	14	63	1	21	1	31	1																																																																																																																																																																																																																																																					
PIB1	0	376	76	232	2	3	63	4																																																																																																																																																																																																																																																						
RAD34	0	82	1	4	6	1	70	2																																																																																																																																																																																																																																																						
IPK1	0	2	2																																																																																																																																																																																																																																																											
OMS1	0	29	25	4																																																																																																																																																																																																																																																										
HIM1	0	7	5	2																																																																																																																																																																																																																																																										
MCM21	0	13	6	7																																																																																																																																																																																																																																																										
YFT2	0	4	3	1																																																																																																																																																																																																																																																										
SWA2	0	62	13	1	16	5	27	1																																																																																																																																																																																																																																																						
DAD4	0	0																																																																																																																																																																																																																																																												
YDR320W-B	0	287	6	225	56																																																																																																																																																																																																																																																									
ASP1	0	128	1	26	101																																																																																																																																																																																																																																																									
MRPL35	0	73	57	4	4	8																																																																																																																																																																																																																																																								
TIM11	0	0																																																																																																																																																																																																																																																												
PEP7	0	224	115	7	2	100																																																																																																																																																																																																																																																								
UTP4	1	0																																																																																																																																																																																																																																																												
YCG1	1	1	1																																																																																																																																																																																																																																																											
YSP2	0	188	89	15	2	1	81	33	30	1	1	1	11	1																																																																																																																																																																																																																																																
YDR327W	1	1	1																																																																																																																																																																																																																																																											
SKP1	1	0																																																																																																																																																																																																																																																												
PEX3	0	79	4	1	1	59	14																																																																																																																																																																																																																																																							
UBX5	0	68	4	64																																																																																																																																																																																																																																																										
GPI8	1	102	102																																																																																																																																																																																																																																																											
IRC3	0	176	33	139	2	2																																																																																																																																																																																																																																																								
RQC1	0	153	95	3	55																																																																																																																																																																																																																																																									
SWR1	0	256	223	2	8	11	12	87	66	6																																																																																																																																																																																																																																																				
MSN5	0	77	3	1	14	32	27	1																																																																																																																																																																																																																																																						
MRX8	0	37	34	3																																																																																																																																																																																																																																																										
MRPS28	0	5	5																																																																																																																																																																																																																																																											
YDR338C	0	144	1	122	2	3	16	2																																																																																																																																																																																																																																																						
FCF1	1	0																																																																																																																																																																																																																																																												
YDR340W	0	44	1	4	24	14	1																																																																																																																																																																																																																																																							
YDR341C	1	0																																																																																																																																																																																																																																																												
HXT7	0	137	83	35	13	1	5	4	45	5	1	2	9																																																																																																																																																																																																																																																	
HXT6	0	158	84	1	55	17	1	3	38	7	1	1	13																																																																																																																																																																																																																																																	
YDR344C	0	117	2	6	1	24	84	205																																																																																																																																																																																																																																																						
HXT3	0	499	1	122	186	189	1	1	2	6																																																																																																																																																																																																																																																				
SVF1	0	92	1	28	2	29	32	2	1	117																																																																																																																																																																																																																																																				
MRP1	0	0																																																																																																																																																																																																																																																												
PAL1	0	29	3	2	13	7	4	1																																																																																																																																																																																																																																																						
YPS7	0	6	1	4	1																																																																																																																																																																																																																																																									
ATP22	0	3	2	1																																																																																																																																																																																																																																																										
SBE2	0	31	19	12																																																																																																																																																																																																																																																										
YPQ2	0	4	2	1	1																																																																																																																																																																																																																																																									
TRR1	1	0																																																																																																																																																																																																																																																												
TRP4	0	0																																																																																																																																																																																																																																																												
YDR354C-A	0	0																																																																																																																																																																																																																																																												
YDR355C	1	0																																																																																																																																																																																																																																																												
SPC110	1	0																																																																																																																																																																																																																																																												
CNL1	0	83	1	4	45	13	20	5	8	55	10																																																																																																																																																																																																																																																			
